Nombre,Precio,ImageUrl
"Impresora Epson multifuncion L3210,""Bs.1,869."",""https://www.dismac.com.bo/media/catalog/product/c/1/c11cj68303.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Mochila para laptop de 15.4"" color gris Klip Xtreme,Bs.199.,""https://www.dismac.com.bo/media/catalog/product/k/n/knb-406gr.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Audífonos JBL Quatum 400 Gaming,Bs.749.,""https://www.dismac.com.bo/media/catalog/product/j/b/jbl_quantum_400_product_image_hero_02_1.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Combo Computadora pc Huawei Ryzen 5 + Monitor Huawei 23"" FHD + Teclado + Mouse con cable Microsoft 600,""Bs. 6,369.00"",""https://www.dismac.com.bo/media/catalog/product/p/u/pum-wdh9a.png?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Combo Computadora HP 348 14"" Core i3 10110U RAM 4GB FreeDOS + Mouse inalámbrico Microsoft 3500 gray + Mochila para laptop de 15.6"" color azul Klip Xtreme,""Bs. 4,669.00"",""https://www.dismac.com.bo/media/catalog/product/2/e/2e4u2lt_abm_1.png?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Combo Computadora portátil Dell Inspiron de 15.6"" Core i3 + Mouse optico inalámbrico Logitech M190 + Mochila para laptop de 15.6"" color gris Klip Xtreme,""Bs. 4,269.00"",""https://www.dismac.com.bo/media/catalog/product/d/e/dec8cn8t.png?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Teclado Alloy Elite 2 RGB HyperX Negro,""Bs.1,299."",""https://www.dismac.com.bo/media/catalog/product/h/k/hkbe2x-1x-la-g_1_.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Computadora portátil IdeaPad Lenovo Intel Core i3-10110U Gris,""Bs.4,949."",""https://www.dismac.com.bo/media/catalog/product/l/e/len81wa00dflm_1_.png?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Teclado estandar con cable Xtech,Bs.69.,""https://www.dismac.com.bo/media/catalog/product/x/t/xtk-092s.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Mochila para laptop 15.6"" color gris con negro Klip Xtreme,Bs.299.,""https://www.dismac.com.bo/media/catalog/product/k/n/knb-575.png?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Mochila antirrobo para laptop color gris de 16"" Xtech,Bs.269.,""https://www.dismac.com.bo/media/catalog/product/x/t/xtb-506gy.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Mouse inalámbrico multidispositivo Logitech M585,Bs.259.,""https://www.dismac.com.bo/media/catalog/product/9/1/910-005012_1_.png?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Teclado inalámbrico Microsoft,Bs.239.,""https://www.dismac.com.bo/media/catalog/product/p/z/pz3-00004_1.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Play Station 5 de 825 GB,""Bs.8,789."",""https://www.dismac.com.bo/media/catalog/product/p/o/post.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Protector de Pantalla para Tablet A7 Transparente,Bs.99.,""https://www.dismac.com.bo/media/catalog/product/g/a/galaxy_a7_subcore.png?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Audífonos JBL Quantum 300 Gaming,Bs.659.,""https://www.dismac.com.bo/media/catalog/product/j/b/jblquantum300blkam.png?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Mochila para laptop de 15.6"" color negro con rojo LaCroix Klip Xtreme,Bs.189.,""https://www.dismac.com.bo/media/catalog/product/k/n/knb-520.png?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Tablet Samsung Tab A7 "" Lite - Ram 3GB, Almacenaje 32GB,""Bs.1,799."",""https://www.dismac.com.bo/media/catalog/product/s/m/sm-t225_silver_1.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Mouse optico inalámbrico Logitech,Bs.119.,""https://www.dismac.com.bo/media/catalog/product/9/1/910-005334_iso.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Teclado con touch inalámbrico Logitech,Bs.359.,""https://www.dismac.com.bo/media/catalog/product/9/2/920-007123-superior.jpeg.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Mochila para laptop de 15.6"" color azul Klip Xtreme,Bs.219.,""https://www.dismac.com.bo/media/catalog/product/k/n/knb-435bl-frente-1.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Impresora Epson multifuncion L3250,""Bs.2,459."",""https://www.dismac.com.bo/media/catalog/product/c/1/c11cj67304_6.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Kit teclado y mouse inalámbrico Microsoft,Bs.599.,""https://www.dismac.com.bo/media/catalog/product/p/p/pp4-00004_2.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Kit teclado y mouse inalámbrico Microsoft,Bs.329.,""https://www.dismac.com.bo/media/catalog/product/p/y/py9-00004_2.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Mouse óptico 3D con cable Xtech,Bs.39.,""https://www.dismac.com.bo/media/catalog/product/x/t/xtm-185_1_.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Auricular estéreo Xtech color negro,Bs.39.,""https://www.dismac.com.bo/media/catalog/product/x/t/xts-220_1_.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Mouse gamer de 6 botones negro Xtech,Bs.89.,""https://www.dismac.com.bo/media/catalog/product/x/t/xtm-510-costado.jpeg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Audífonos JBL Quatum 400 Gaming,Bs.749.,""https://www.dismac.com.bo/media/catalog/product/j/b/jbl_quantum_400_product_image_hero_02_1.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Mando para PS5 Blanco Dualsense Wireless Controller,Bs.899.,""https://www.dismac.com.bo/media/catalog/product/4/9/49746632758_470c1cca29_3k.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Protector de Pantalla para Tablet S7 Transparente,Bs.89.,""https://www.dismac.com.bo/media/catalog/product/g/a/galaxy_s7_subcore_01.png?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Router Tenda AC7 1200MBPS  Doble Banda,Bs.379.,""https://www.dismac.com.bo/media/catalog/product/a/c/ac7_1.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Sistema WiFi Tenda Malla/Mesh ara Todo el Hogar AC1200,Bs.559.,""https://www.dismac.com.bo/media/catalog/product/m/w/mw3_2pk_1.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Mochila Para Laptop Xtech Color Negro,Bs.199.,""https://www.dismac.com.bo/media/catalog/product/x/t/xtb-213.png?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Cable HDMI 3mts marca Xtech,Bs.69.,""https://www.dismac.com.bo/media/catalog/product/x/t/xtc-620-parado_en_caja.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Mochila para laptop de 15.4"" color azul Klip Xtreme,Bs.159.,""https://www.dismac.com.bo/media/catalog/product/k/n/knb-405bl_mochila_para_laptop_color_azul_klip_xtreme_b.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Impresora Epson multifuncion L3210,""Bs.1,869."",""https://www.dismac.com.bo/media/catalog/product/c/1/c11cj68303.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Kaspersky internet security 1 Dispositivo 1 año,Bs.259.,""https://www.dismac.com.bo/media/catalog/product/k/l/kl1939ddafs.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Mouse Logitech M170 Color Rojo,Bs.99.,""https://www.dismac.com.bo/media/catalog/product/9/1/910-004941_2_.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Teclado K480 bluetooth multidispositivo Logitech,Bs.549.,""https://www.dismac.com.bo/media/catalog/product/9/2/920-006346.png?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Audifonos HyperX Cloud Stinger PS4,Bs.409.,""https://www.dismac.com.bo/media/catalog/product/h/x/hx-hscss-bk_am.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Audifonos Razer Kraken USB,Bs.579.,""https://www.dismac.com.bo/media/catalog/product/r/z/rz04-02960100-r3u1_1_.jpg?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
"Computadora portátil Dell Inspiron de 15.6"" Core i3,""Bs.4,299."",""https://www.dismac.com.bo/media/catalog/product/j/h/jh94x_1.png?width=240&height=300&canvas=240:300&quality=80&bg-color=255,255,255&fit=bounds"""
